Time (EET);EndTime;Open;High;Low;Close;Volume
2020-01-02 02:05:58.637;2020-01-02 02:05:58.637;1518.6;1518.7;1518.6;1518.7;0.00037
2020-01-02 02:05:58.983;2020-01-02 02:05:58.983;1518.7;1518.8;1518.7;1518.8;0.0001
2020-01-02 02:07:00.572;2020-01-02 02:07:00.572;1518.8;1518.9;1518.8;1518.9;0.00022
2020-01-02 02:07:11.443;2020-01-02 02:07:11.443;1518.9;1518.9;1518.8;1518.8;0.00037
2020-01-02 02:07:38.090;2020-01-02 02:07:38.090;1518.8;1518.9;1518.8;1518.9;0.0001
2020-01-02 02:08:27.660;2020-01-02 02:08:27.660;1518.9;1519.0;1518.9;1519.0;0.00037
2020-01-02 02:08:43.786;2020-01-02 02:08:43.786;1519.0;1519.1;1519.0;1519.1;0.00037
2020-01-02 02:10:09.935;2020-01-02 02:10:09.935;1519.1;1519.1;1519.0;1519.0;0.0001
2020-01-02 02:10:11.126;2020-01-02 02:10:11.126;1519.0;1519.0;1518.9;1518.9;0.0001
2020-01-02 02:11:30.743;2020-01-02 02:11:30.743;1518.9;1519.0;1518.9;1519.0;0.00037
2020-01-02 02:12:03.525;2020-01-02 02:12:03.525;1519.0;1519.1;1519.0;1519.1;0.00037
2020-01-02 02:13:05.935;2020-01-02 02:13:05.935;1519.1;1519.2;1519.1;1519.2;0.00037
2020-01-02 02:14:02.154;2020-01-02 02:14:02.154;1519.2;1519.2;1519.1;1519.1;0.0003
2020-01-02 02:14:23.605;2020-01-02 02:14:23.605;1519.1;1519.2;1519.1;1519.2;0.00037
2020-01-02 02:14:45.780;2020-01-02 02:14:45.780;1519.2;1519.3;1519.2;1519.3;0.00045
2020-01-02 02:15:48.135;2020-01-02 02:15:48.135;1519.3;1519.3;1519.2;1519.2;0.0003
2020-01-02 02:16:00.518;2020-01-02 02:16:00.518;1519.2;1519.3;1519.2;1519.3;0.00037
2020-01-02 02:16:23.167;2020-01-02 02:16:23.167;1519.3;1519.3;1519.2;1519.2;0.00037
2020-01-02 02:16:26.988;2020-01-02 02:16:26.988;1519.1;1519.1;1519.0;1519.0;0.00037
2020-01-02 02:16:26.988;2020-01-02 02:16:26.988;1519.0;1519.0;1518.9;1518.9;0.00037
2020-01-02 02:16:26.988;2020-01-02 02:16:26.988;1519.2;1519.2;1519.1;1519.1;0.00037
2020-01-02 02:16:40.216;2020-01-02 02:16:40.216;1518.9;1519.0;1518.9;1519.0;0.00037
2020-01-02 02:17:00.196;2020-01-02 02:17:00.196;1519.0;1519.1;1519.0;1519.1;0.00037
2020-01-02 02:17:27.585;2020-01-02 02:17:27.585;1519.1;1519.1;1519.0;1519.0;0.00037
2020-01-02 02:17:31.137;2020-01-02 02:17:31.137;1519.0;1519.0;1518.9;1518.9;0.0003
2020-01-02 02:18:07.675;2020-01-02 02:18:07.675;1518.9;1519.0;1518.9;1519.0;0.00037
2020-01-02 02:18:07.826;2020-01-02 02:18:07.826;1519.0;1519.1;1519.0;1519.1;0.00022
2020-01-02 02:18:11.246;2020-01-02 02:18:11.246;1519.1;1519.2;1519.1;1519.2;0.0001
2020-01-02 02:19:16.345;2020-01-02 02:19:16.345;1519.2;1519.3;1519.2;1519.3;0.00037
2020-01-02 02:19:27.705;2020-01-02 02:19:27.705;1519.3;1519.4;1519.3;1519.4;0.0001
2020-01-02 02:20:02.526;2020-01-02 02:20:02.526;1519.4;1519.4;1519.3;1519.3;0.0003
2020-01-02 02:21:02.126;2020-01-02 02:21:02.126;1519.3;1519.4;1519.3;1519.4;0.00037
2020-01-02 02:21:40.834;2020-01-02 02:21:40.834;1519.4;1519.5;1519.4;1519.5;0.0001
2020-01-02 02:22:42.572;2020-01-02 02:22:42.572;1519.5;1519.5;1519.4;1519.4;0.0006
2020-01-02 02:22:42.724;2020-01-02 02:22:42.724;1519.4;1519.4;1519.3;1519.3;0.0003
2020-01-02 02:23:04.735;2020-01-02 02:23:04.735;1519.3;1519.3;1519.2;1519.2;0.0003
2020-01-02 02:23:09.356;2020-01-02 02:23:09.356;1519.2;1519.3;1519.2;1519.3;0.00037
2020-01-02 02:23:35.254;2020-01-02 02:23:35.254;1519.3;1519.3;1519.2;1519.2;0.0003
2020-01-02 02:24:00.858;2020-01-02 02:24:00.858;1519.2;1519.3;1519.2;1519.3;0.00037
2020-01-02 02:24:02.145;2020-01-02 02:24:02.145;1519.3;1519.4;1519.3;1519.4;0.00037
2020-01-02 02:27:46.234;2020-01-02 02:27:46.234;1519.4;1519.4;1519.3;1519.3;0.0003
2020-01-02 02:28:01.804;2020-01-02 02:28:01.804;1519.3;1519.4;1519.3;1519.4;0.0006
2020-01-02 02:29:08.965;2020-01-02 02:29:08.965;1519.4;1519.5;1519.4;1519.5;0.00037
2020-01-02 02:31:31.079;2020-01-02 02:31:31.079;1519.5;1519.5;1519.4;1519.4;0.00037
2020-01-02 02:32:38.575;2020-01-02 02:32:38.575;1519.4;1519.4;1519.3;1519.3;0.00037
2020-01-02 02:33:01.286;2020-01-02 02:33:01.286;1519.3;1519.3;1519.2;1519.2;0.0003
2020-01-02 02:33:24.167;2020-01-02 02:33:24.167;1519.2;1519.3;1519.2;1519.3;0.00045
2020-01-02 02:33:42.936;2020-01-02 02:33:42.936;1519.3;1519.3;1519.2;1519.2;0.0003
2020-01-02 02:33:50.263;2020-01-02 02:33:50.263;1519.2;1519.2;1519.1;1519.1;0.00037
2020-01-02 02:34:01.271;2020-01-02 02:34:01.271;1519.1;1519.2;1519.1;1519.2;0.00037
2020-01-02 02:34:23.585;2020-01-02 02:34:23.585;1519.2;1519.3;1519.2;1519.3;0.00037
2020-01-02 02:34:23.746;2020-01-02 02:34:23.746;1519.3;1519.4;1519.3;1519.4;0.0001
2020-01-02 02:35:21.639;2020-01-02 02:35:21.639;1519.4;1519.4;1519.3;1519.3;0.00037
2020-01-02 02:35:22.209;2020-01-02 02:35:22.209;1519.3;1519.3;1519.2;1519.2;0.00037
2020-01-02 02:35:33.934;2020-01-02 02:35:33.934;1519.2;1519.3;1519.2;1519.3;0.00037
2020-01-02 02:36:28.880;2020-01-02 02:36:28.880;1519.3;1519.3;1519.2;1519.2;0.00037
2020-01-02 02:36:53.795;2020-01-02 02:36:53.795;1519.2;1519.3;1519.2;1519.3;0.00037
2020-01-02 02:37:47.927;2020-01-02 02:37:47.927;1519.3;1519.3;1519.2;1519.2;0.00037
2020-01-02 02:37:54.528;2020-01-02 02:37:54.528;1519.2;1519.2;1519.1;1519.1;0.00037
2020-01-02 02:38:03.214;2020-01-02 02:38:03.214;1519.1;1519.2;1519.1;1519.2;0.00037
2020-01-02 02:38:08.703;2020-01-02 02:38:08.703;1519.2;1519.2;1519.1;1519.1;0.00037
2020-01-02 02:38:24.907;2020-01-02 02:38:24.907;1519.1;1519.2;1519.1;1519.2;0.00037
2020-01-02 02:38:42.815;2020-01-02 02:38:42.815;1519.2;1519.3;1519.2;1519.3;0.00037
2020-01-02 02:39:23.351;2020-01-02 02:39:23.351;1519.3;1519.3;1519.2;1519.2;0.00037
2020-01-02 02:42:14.471;2020-01-02 02:42:14.471;1519.2;1519.2;1519.1;1519.1;0.00037
2020-01-02 02:42:22.663;2020-01-02 02:42:22.663;1519.1;1519.1;1519.0;1519.0;0.00037
2020-01-02 02:43:09.325;2020-01-02 02:43:09.325;1519.0;1519.0;1518.9;1518.9;0.00037
2020-01-02 02:43:19.425;2020-01-02 02:43:19.425;1518.9;1518.9;1518.8;1518.8;0.00037
2020-01-02 02:43:24.296;2020-01-02 02:43:24.296;1518.8;1518.8;1518.7;1518.7;0.0003
2020-01-02 02:43:50.484;2020-01-02 02:43:50.484;1518.7;1518.7;1518.6;1518.6;0.0003
2020-01-02 02:45:29.406;2020-01-02 02:45:29.406;1518.6;1518.7;1518.6;1518.7;0.00037
2020-01-02 02:45:35.604;2020-01-02 02:45:35.604;1518.7;1518.8;1518.7;1518.8;0.00037
2020-01-02 02:47:05.272;2020-01-02 02:47:05.272;1518.8;1518.9;1518.8;1518.9;0.0003
2020-01-02 02:47:56.726;2020-01-02 02:47:56.726;1518.9;1519.0;1518.9;1519.0;0.0001
2020-01-02 02:48:51.448;2020-01-02 02:48:51.448;1519.0;1519.0;1518.9;1518.9;0.00037
2020-01-02 02:49:12.333;2020-01-02 02:49:12.333;1518.9;1518.9;1518.8;1518.8;0.0003
2020-01-02 02:49:17.198;2020-01-02 02:49:17.198;1518.8;1518.8;1518.7;1518.7;0.00037
2020-01-02 02:51:06.712;2020-01-02 02:51:06.712;1518.7;1518.7;1518.6;1518.6;0.0001
2020-01-02 02:51:06.813;2020-01-02 02:51:06.813;1518.6;1518.6;1518.5;1518.5;0.0001
2020-01-02 02:52:28.960;2020-01-02 02:52:28.960;1518.5;1518.5;1518.4;1518.4;0.0003
2020-01-02 02:53:42.227;2020-01-02 02:53:42.227;1518.4;1518.5;1518.4;1518.5;0.00037
2020-01-02 02:55:00.835;2020-01-02 02:55:00.835;1518.5;1518.6;1518.5;1518.6;0.00037
2020-01-02 02:55:25.795;2020-01-02 02:55:25.795;1518.6;1518.7;1518.6;1518.7;0.00037
2020-01-02 02:57:44.258;2020-01-02 02:57:44.258;1518.7;1518.7;1518.6;1518.6;0.0003
2020-01-02 02:58:25.081;2020-01-02 02:58:25.081;1518.6;1518.7;1518.6;1518.7;0.0001
2020-01-02 02:58:35.338;2020-01-02 02:58:35.338;1518.7;1518.7;1518.6;1518.6;0.0003
2020-01-02 02:59:00.376;2020-01-02 02:59:00.376;1518.6;1518.7;1518.6;1518.7;0.0001
2020-01-02 02:59:00.477;2020-01-02 02:59:00.477;1518.7;1518.8;1518.7;1518.8;0.0001
2020-01-02 02:59:26.952;2020-01-02 02:59:26.952;1518.8;1518.8;1518.7;1518.7;0.0003
2020-01-02 02:59:32.731;2020-01-02 02:59:32.731;1518.7;1518.8;1518.7;1518.8;0.0001
2020-01-02 02:59:40.105;2020-01-02 02:59:40.105;1518.8;1518.9;1518.8;1518.9;0.0001
2020-01-02 03:00:00.217;2020-01-02 03:00:00.217;1518.9;1518.9;1518.8;1518.8;0.0003
2020-01-02 03:00:01.246;2020-01-02 03:00:01.246;1518.8;1518.8;1518.7;1518.7;0.0003
2020-01-02 03:00:02.037;2020-01-02 03:00:02.037;1518.7;1518.7;1518.6;1518.6;0.00037
2020-01-02 03:00:02.238;2020-01-02 03:00:02.238;1518.6;1518.6;1518.5;1518.5;0.0001
2020-01-02 03:00:02.238;2020-01-02 03:00:02.238;1518.5;1518.5;1518.4;1518.4;0.0001
2020-01-02 03:00:02.289;2020-01-02 03:00:02.289;1518.4;1518.4;1518.3;1518.3;0.0001
2020-01-02 03:00:02.701;2020-01-02 03:00:02.701;1518.3;1518.3;1518.2;1518.2;0.00075
2020-01-02 03:00:02.802;2020-01-02 03:00:02.802;1518.2;1518.2;1518.1;1518.1;0.0003
2020-01-02 03:00:02.802;2020-01-02 03:00:02.802;1518.1;1518.1;1518.0;1518.0;0.0003
2020-01-02 03:00:03.246;2020-01-02 03:00:03.246;1518.0;1518.0;1517.9;1517.9;0.00052
2020-01-02 03:00:03.296;2020-01-02 03:00:03.296;1517.9;1517.9;1517.8;1517.8;0.00037
2020-01-02 03:00:04.906;2020-01-02 03:00:04.906;1517.8;1517.9;1517.8;1517.9;0.00037
2020-01-02 03:00:05.825;2020-01-02 03:00:05.825;1517.9;1517.9;1517.8;1517.8;0.0003
2020-01-02 03:00:06.454;2020-01-02 03:00:06.454;1517.8;1517.8;1517.7;1517.7;0.00037
2020-01-02 03:00:06.454;2020-01-02 03:00:06.454;1517.7;1517.7;1517.6;1517.6;0.00037
2020-01-02 03:00:06.657;2020-01-02 03:00:06.657;1517.6;1517.6;1517.5;1517.5;0.0003
2020-01-02 03:00:06.909;2020-01-02 03:00:06.909;1517.5;1517.5;1517.4;1517.4;0.0003
2020-01-02 03:00:07.417;2020-01-02 03:00:07.417;1517.4;1517.5;1517.4;1517.5;0.00022
2020-01-02 03:00:07.417;2020-01-02 03:00:07.417;1517.5;1517.6;1517.5;1517.6;0.00022
2020-01-02 03:00:07.646;2020-01-02 03:00:07.646;1517.6;1517.7;1517.6;1517.7;0.00022
2020-01-02 03:00:08.241;2020-01-02 03:00:08.241;1517.7;1517.7;1517.6;1517.6;0.00037
2020-01-02 03:00:10.183;2020-01-02 03:00:10.183;1517.6;1517.7;1517.6;1517.7;0.0001
2020-01-02 03:00:10.334;2020-01-02 03:00:10.334;1517.7;1517.8;1517.7;1517.8;0.00022
2020-01-02 03:00:10.435;2020-01-02 03:00:10.435;1517.8;1517.9;1517.8;1517.9;0.0001
2020-01-02 03:00:11.208;2020-01-02 03:00:11.208;1517.9;1518.0;1517.9;1518.0;0.00037
2020-01-02 03:00:11.965;2020-01-02 03:00:11.965;1518.0;1518.1;1518.0;1518.1;0.0001
2020-01-02 03:00:13.017;2020-01-02 03:00:13.017;1518.2;1518.3;1518.2;1518.3;0.00022
2020-01-02 03:00:13.017;2020-01-02 03:00:13.017;1518.1;1518.2;1518.1;1518.2;0.00022
2020-01-02 03:00:13.067;2020-01-02 03:00:13.067;1518.3;1518.4;1518.3;1518.4;0.00022
2020-01-02 03:00:15.573;2020-01-02 03:00:15.573;1518.4;1518.5;1518.4;1518.5;0.0001
2020-01-02 03:00:15.715;2020-01-02 03:00:15.715;1518.5;1518.6;1518.5;1518.6;0.00037
2020-01-02 03:00:19.212;2020-01-02 03:00:19.212;1518.6;1518.7;1518.6;1518.7;0.00037
2020-01-02 03:00:19.212;2020-01-02 03:00:19.212;1518.7;1518.8;1518.7;1518.8;0.00037
