Time (EET);Ask;Bid;AskVolume;BidVolume
2020.01.02 01:01:02.413;1520,185;1519,625;0,0001;0,0001
2020.01.02 01:01:02.463;1520,085;1519,595;0,0001;0,0001
2020.01.02 01:01:02.604;1520,225;1519,715;0,0001;0,0001
2020.01.02 01:01:02.655;1520,165;1519,675;0,0001;0,0001
2020.01.02 01:01:03.261;1520,165;1519,635;0,0001;0,0001
2020.01.02 01:01:03.311;1520,135;1519,625;0,0001;0,0001
2020.01.02 01:01:03.412;1520,115;1519,625;0,0001;0,0001
2020.01.02 01:01:04.158;1520,115;1519,655;0,0001;0,0001
2020.01.02 01:01:04.208;1520,245;1519,745;0,0001;0,0001
2020.01.02 01:01:05.876;1520,245;1519,765;0,0001;0,0001
2020.01.02 01:01:05.927;1520,395;1519,865;0,0001;0,0001
2020.01.02 01:01:05.978;1520,195;1519,705;0,0001;0,0001
2020.01.02 01:01:06.030;1520,195;1519,695;0,0001;0,0001
2020.01.02 01:01:06.080;1520,185;1519,695;0,0001;0,0001
2020.01.02 01:01:07.975;1520,285;1519,785;0,0001;0,0001
2020.01.02 01:01:09.156;1520,275;1519,795;0,0001;0,0001
2020.01.02 01:01:10.490;1520,275;1519,775;0,0001;0,0001
2020.01.02 01:01:10.551;1520,265;1519,775;0,0001;0,0001
2020.01.02 01:01:11.975;1520,335;1519,835;0,0001;0,0001
2020.01.02 01:01:12.202;1520,335;1519,725;0,0001;0,0001
2020.01.02 01:01:12.252;1520,195;1519,705;0,0001;0,0001
2020.01.02 01:01:13.119;1520,185;1519,695;0,0001;0,0001
2020.01.02 01:01:13.775;1520,315;1519,815;0,0001;0,0001
2020.01.02 01:01:13.825;1520,325;1519,835;0,0001;0,0001
2020.01.02 01:01:14.217;1520,305;1519,815;0,0001;0,0001
2020.01.02 01:01:14.620;1520,315;1519,825;0,0001;0,0001
2020.01.02 01:01:15.607;1520,405;1519,915;0,0001;0,0001
2020.01.02 01:01:16.597;1520,415;1519,925;0,0001;0,0001
2020.01.02 01:01:16.761;1520,415;1519,945;0,0001;0,0001
2020.01.02 01:01:16.812;1520,445;1519,945;0,0001;0,0001
2020.01.02 01:01:16.863;1520,475;1519,985;0,0001;0,0001
2020.01.02 01:01:17.013;1520,475;1520,005;0,0001;0,0001
2020.01.02 01:01:17.063;1520,495;1519,985;0,0001;0,0001
2020.01.02 01:01:18.095;1520,465;1519,955;0,0001;0,0001
2020.01.02 01:01:18.200;1520,485;1519,985;0,0001;0,0001
2020.01.02 01:01:18.957;1520,485;1519,995;0,0001;0,0001
2020.01.02 01:01:20.557;1520,395;1519,905;0,0001;0,0001
2020.01.02 01:01:20.931;1520,395;1519,895;0,0001;0,0001
2020.01.02 01:01:21.009;1520,395;1519,855;0,0001;0,0001
2020.01.02 01:01:21.059;1520,225;1519,735;0,0001;0,0001
2020.01.02 01:01:22.447;1520,225;1519,755;0,0001;0,0001
2020.01.02 01:01:22.497;1520,285;1519,785;0,0001;0,0001
2020.01.02 01:01:31.119;1520,295;1519,805;0,0001;0,0001
2020.01.02 01:01:33.315;1520,285;1519,795;0,0001;0,0001
2020.01.02 01:01:33.466;1520,285;1519,775;0,0001;0,0001
2020.01.02 01:01:33.785;1520,285;1519,795;0,0001;0,0001
2020.01.02 01:01:34.492;1520,355;1519,865;0,0001;0,0001
2020.01.02 01:01:35.762;1520,415;1519,905;0,0001;0,0001
2020.01.02 01:01:35.954;1520,405;1519,905;0,0001;0,0001
2020.01.02 01:01:36.092;1520,405;1519,915;0,0001;0,0001
2020.01.02 01:01:37.895;1520,435;1519,935;0,0001;0,0001
2020.01.02 01:01:37.946;1520,435;1519,945;0,0001;0,0001
2020.01.02 01:01:37.996;1520,455;1519,945;0,0001;0,0001
2020.01.02 01:01:38.047;1520,485;1519,985;0,0001;0,0001
2020.01.02 01:01:38.353;1520,495;1519,995;0,0001;0,0001
2020.01.02 01:01:44.936;1520,545;1520,035;0,0001;0,0001
2020.01.02 01:01:44.986;1520,545;1520,045;0,0001;0,0001
2020.01.02 01:01:46.221;1520,545;1520,035;0,0001;0,0001
2020.01.02 01:01:46.272;1520,525;1520,035;0,0001;0,0001
2020.01.02 01:01:46.763;1520,525;1520,025;0,0001;0,0001
2020.01.02 01:01:46.814;1520,515;1520,025;0,0001;0,0001
2020.01.02 01:01:47.565;1520,535;1520,035;0,0001;0,0001
2020.01.02 01:01:47.616;1520,535;1520,045;0,0001;0,0001
2020.01.02 01:01:47.733;1520,545;1520,055;0,0001;0,0001
2020.01.02 01:01:49.634;1520,595;1520,085;0,0001;0,0001
2020.01.02 01:01:49.685;1520,615;1520,125;0,0001;0,0001
2020.01.02 01:01:49.817;1520,595;1520,105;0,0001;0,0001
2020.01.02 01:01:49.955;1520,615;1520,125;0,0001;0,0001
2020.01.02 01:01:50.061;1520,675;1520,175;0,0001;0,0001
2020.01.02 01:01:50.946;1520,615;1520,115;0,0001;0,0001
2020.01.02 01:01:51.340;1520,625;1520,135;0,0001;0,0001
2020.01.02 01:01:53.076;1520,665;1520,175;0,0001;0,0001
2020.01.02 01:01:53.865;1520,705;1520,205;0,0001;0,0001
2020.01.02 01:01:54.046;1520,775;1520,275;0,0001;0,0001
2020.01.02 01:01:54.196;1520,785;1520,285;0,0001;0,0001
2020.01.02 01:01:55.662;1520,815;1520,315;0,0001;0,0001
2020.01.02 01:01:56.634;1520,825;1520,335;0,0001;0,0001
2020.01.02 01:01:57.229;1520,825;1520,315;0,0001;0,0001
2020.01.02 01:01:57.280;1520,815;1520,315;0,0001;0,0001
2020.01.02 01:01:57.947;1520,815;1520,335;0,0001;0,0001
2020.01.02 01:01:57.998;1520,825;1520,335;0,0001;0,0001
2020.01.02 01:01:59.302;1520,825;1520,315;0,0001;0,0001
2020.01.02 01:01:59.352;1520,805;1520,315;0,0001;0,0001
2020.01.02 01:02:00.695;1520,785;1520,285;0,0001;0,0001
2020.01.02 01:02:00.796;1520,795;1520,305;0,0001;0,0001
2020.01.02 01:02:00.896;1520,695;1520,195;0,0001;0,0001
2020.01.02 01:02:01.975;1520,695;1520,185;0,0001;0,0001
2020.01.02 01:02:02.026;1520,685;1520,185;0,0001;0,0001
2020.01.02 01:02:02.234;1520,685;1520,155;0,0001;0,0001
2020.01.02 01:02:02.284;1520,625;1520,125;0,0001;0,0001
2020.01.02 01:02:03.296;1520,655;1520,155;0,0001;0,0001
2020.01.02 01:02:03.447;1520,635;1520,145;0,0001;0,0001
2020.01.02 01:02:03.580;1520,715;1520,215;0,0001;0,0001
2020.01.02 01:02:04.222;1520,715;1520,225;0,0001;0,0001
2020.01.02 01:02:07.779;1520,735;1520,225;0,0001;0,0001
2020.01.02 01:02:07.829;1520,725;1520,225;0,0001;0,0001
2020.01.02 01:02:08.245;1520,722;1520,225;0,00037;0,0001
2020.01.02 01:02:08.295;1520,605;1520,105;0,0001;0,0001
2020.01.02 01:02:09.100;1520,615;1520,125;0,0001;0,0001
2020.01.02 01:02:09.604;1520,692;1520,075;0,00037;0,0001
2020.01.02 01:02:09.654;1520,745;1520,245;0,0001;0,0001
2020.01.02 01:02:10.330;1520,725;1520,235;0,0001;0,0001
2020.01.02 01:02:10.801;1520,715;1520,225;0,0001;0,0001
2020.01.02 01:02:11.005;1520,715;1520,215;0,0001;0,0001
2020.01.02 01:02:11.055;1520,705;1520,215;0,0001;0,0001
2020.01.02 01:02:12.351;1520,705;1520,195;0,0001;0,0001
2020.01.02 01:02:12.401;1520,695;1520,185;0,0001;0,0001
2020.01.02 01:02:12.693;1520,685;1520,185;0,0001;0,0001
2020.01.02 01:02:17.301;1520,685;1520,135;0,0001;0,0001
2020.01.02 01:02:17.351;1520,605;1520,115;0,0001;0,0001
2020.01.02 01:02:18.749;1520,635;1520,135;0,0001;0,0001
2020.01.02 01:02:18.854;1520,655;1520,165;0,0001;0,0001
2020.01.02 01:02:19.806;1520,645;1520,135;0,0001;0,0001
2020.01.02 01:02:20.552;1520,625;1520,135;0,0001;0,0001
2020.01.02 01:02:21.021;1520,615;1520,115;0,0001;0,0001
2020.01.02 01:02:24.143;1520,675;1520,175;0,0001;0,0001
2020.01.02 01:02:24.194;1520,685;1520,175;0,0001;0,0001
2020.01.02 01:02:24.244;1520,685;1520,195;0,0001;0,0001
2020.01.02 01:02:25.094;1520,635;1520,145;0,0001;0,0001
2020.01.02 01:02:25.144;1520,635;1520,135;0,0001;0,0001
2020.01.02 01:02:25.526;1520,625;1520,135;0,0001;0,0001
2020.01.02 01:02:26.288;1520,605;1520,105;0,0001;0,0001
2020.01.02 01:02:28.385;1520,585;1520,095;0,0001;0,0001
2020.01.02 01:02:29.825;1520,595;1520,095;0,0001;0,0001
2020.01.02 01:02:30.404;1520,595;1520,105;0,0001;0,0001
2020.01.02 01:02:30.505;1520,605;1520,105;0,0001;0,0001
2020.01.02 01:02:30.932;1520,625;1520,125;0,0001;0,0001
2020.01.02 01:02:32.993;1520,672;1520,195;0,00037;0,0001
2020.01.02 01:02:33.044;1520,705;1520,195;0,0001;0,0001
2020.01.02 01:02:33.154;1520,705;1520,205;0,0001;0,0001
2020.01.02 01:02:34.574;1520,665;1520,165;0,0001;0,0001
2020.01.02 01:02:34.819;1520,625;1520,135;0,0001;0,0001
2020.01.02 01:02:35.923;1520,605;1520,115;0,0001;0,0001
2020.01.02 01:02:38.929;1520,595;1520,085;0,0001;0,0001
2020.01.02 01:02:39.161;1520,585;1520,085;0,0001;0,0001
2020.01.02 01:02:41.213;1520,525;1520,035;0,0001;0,0001
2020.01.02 01:02:42.382;1520,575;1520,085;0,0001;0,0001
2020.01.02 01:02:42.433;1520,595;1520,085;0,0001;0,0001
2020.01.02 01:02:42.821;1520,595;1520,095;0,0001;0,0001
2020.01.02 01:02:46.988;1520,595;1520,115;0,0001;0,0001
2020.01.02 01:02:47.038;1520,615;1520,115;0,0001;0,0001
2020.01.02 01:02:51.937;1520,595;1520,105;0,0001;0,0001
2020.01.02 01:02:53.618;1520,615;1520,125;0,0001;0,0001
2020.01.02 01:02:56.134;1520,672;1520,195;0,00037;0,0001
2020.01.02 01:02:56.185;1520,715;1520,215;0,0001;0,0001
2020.01.02 01:02:58.174;1520,715;1520,205;0,0001;0,0001
2020.01.02 01:02:58.224;1520,695;1520,205;0,0001;0,0001
2020.01.02 01:03:04.813;1520,675;1520,185;0,0001;0,0001
2020.01.02 01:03:04.864;1520,675;1520,165;0,0001;0,0001
2020.01.02 01:03:05.289;1520,655;1520,165;0,0001;0,0001
2020.01.02 01:03:05.494;1520,685;1520,185;0,0001;0,0001
2020.01.02 01:03:05.725;1520,665;1520,175;0,0001;0,0001
2020.01.02 01:03:06.087;1520,635;1520,135;0,0001;0,0001
2020.01.02 01:03:06.138;1520,635;1520,125;0,0001;0,0001
2020.01.02 01:03:06.188;1520,615;1520,125;0,0001;0,0001
2020.01.02 01:03:11.364;1520,625;1520,135;0,0001;0,0001
2020.01.02 01:03:13.008;1520,625;1520,145;0,0001;0,0001
2020.01.02 01:03:13.058;1520,645;1520,145;0,0001;0,0001
2020.01.02 01:03:13.870;1520,695;1520,205;0,0001;0,0001
2020.01.02 01:03:18.345;1520,685;1520,185;0,0001;0,0001
2020.01.02 01:03:21.796;1520,675;1520,175;0,0001;0,0001
2020.01.02 01:03:22.076;1520,685;1520,185;0,0001;0,0001
2020.01.02 01:03:22.842;1520,655;1520,165;0,0001;0,0001
2020.01.02 01:03:24.490;1520,645;1520,155;0,0001;0,0001
2020.01.02 01:03:26.416;1520,625;1520,125;0,0001;0,0001
2020.01.02 01:03:26.634;1520,605;1520,125;0,0001;0,0001
2020.01.02 01:03:26.869;1520,605;1520,105;0,0001;0,0001
2020.01.02 01:03:27.505;1520,565;1520,075;0,0001;0,0001
2020.01.02 01:03:27.556;1520,565;1520,045;0,0001;0,0001
2020.01.02 01:03:27.833;1520,565;1520,065;0,0001;0,0001
2020.01.02 01:03:33.915;1520,535;1520,035;0,0001;0,0001
2020.01.02 01:03:34.112;1520,545;1520,055;0,0001;0,0001
2020.01.02 01:03:34.213;1520,535;1520,035;0,0001;0,0001
2020.01.02 01:03:34.687;1520,515;1520,025;0,0001;0,0001
2020.01.02 01:03:46.114;1520,545;1520,055;0,0001;0,0001
2020.01.02 01:03:46.424;1520,545;1520,065;0,0001;0,0001
2020.01.02 01:03:46.474;1520,555;1520,065;0,0001;0,0001
2020.01.02 01:03:49.805;1520,535;1520,045;0,0001;0,0001
2020.01.02 01:03:50.010;1520,525;1520,025;0,0001;0,0001
2020.01.02 01:03:50.872;1520,555;1520,045;0,0001;0,0001
2020.01.02 01:03:50.922;1520,535;1520,025;0,0001;0,0001
2020.01.02 01:03:51.210;1520,515;1520,025;0,0001;0,0001
2020.01.02 01:03:52.884;1520,515;1520,015;0,0001;0,0001
2020.01.02 01:03:55.604;1520,592;1520,245;0,00037;0,0001
2020.01.02 01:03:55.654;1520,735;1520,245;0,0001;0,0001
2020.01.02 01:03:55.871;1520,765;1520,275;0,0001;0,0001
2020.01.02 01:04:00.667;1520,825;1520,325;0,0001;0,0001
2020.01.02 01:04:01.107;1520,835;1520,335;0,0001;0,0001
2020.01.02 01:04:01.384;1520,835;1520,345;0,0001;0,0001
2020.01.02 01:04:11.061;1520,825;1520,335;0,0001;0,0001
2020.01.02 01:04:15.735;1520,825;1520,355;0,0001;0,0001
2020.01.02 01:04:15.785;1520,835;1520,335;0,0001;0,0001
2020.01.02 01:04:16.115;1520,895;1520,385;0,0001;0,0001
2020.01.02 01:04:18.942;1520,835;1520,345;0,0001;0,0001
2020.01.02 01:04:18.992;1520,835;1520,335;0,0001;0,0001
2020.01.02 01:04:19.182;1520,815;1520,335;0,0001;0,0001
2020.01.02 01:04:21.314;1520,805;1520,325;0,0001;0,0001
2020.01.02 01:04:21.808;1520,805;1520,315;0,0001;0,0001
2020.01.02 01:04:24.132;1520,845;1520,355;0,0001;0,0001
2020.01.02 01:04:24.182;1520,925;1520,415;0,0001;0,0001
2020.01.02 01:04:24.246;1520,925;1520,435;0,0001;0,0001
2020.01.02 01:04:25.535;1520,905;1520,415;0,0001;0,0001
2020.01.02 01:04:26.576;1520,895;1520,405;0,0001;0,0001
2020.01.02 01:04:26.855;1520,985;1520,485;0,0001;0,0001
2020.01.02 01:04:26.905;1520,985;1520,495;0,0001;0,0001
2020.01.02 01:04:27.024;1521,075;1520,585;0,0001;0,0001
2020.01.02 01:04:28.544;1521,095;1520,595;0,0001;0,0001
2020.01.02 01:04:29.860;1521,075;1520,585;0,0001;0,0001
2020.01.02 01:04:30.905;1520,962;1520,585;0,00037;0,0001
2020.01.02 01:04:30.955;1520,775;1520,275;0,0001;0,0001
2020.01.02 01:04:32.590;1520,785;1520,295;0,0001;0,0001
2020.01.02 01:04:33.456;1520,705;1520,215;0,0001;0,0001
2020.01.02 01:04:34.934;1520,705;1520,195;0,0001;0,0001
2020.01.02 01:04:35.300;1520,735;1520,245;0,0001;0,0001
2020.01.02 01:04:35.350;1520,745;1520,245;0,0001;0,0001
2020.01.02 01:04:35.533;1520,765;1520,265;0,0001;0,0001
2020.01.02 01:04:37.491;1520,872;1520,435;0,00037;0,0001
2020.01.02 01:04:37.541;1520,945;1520,445;0,0001;0,0001
2020.01.02 01:04:37.592;1520,935;1520,435;0,0001;0,0001
2020.01.02 01:04:37.815;1520,905;1520,405;0,0001;0,0001
2020.01.02 01:04:38.028;1520,895;1520,405;0,0001;0,0001
2020.01.02 01:04:39.993;1520,925;1520,435;0,0001;0,0001
2020.01.02 01:04:40.375;1520,985;1520,465;0,0001;0,0001
